,lot,trial,val_loss,min_val_loss,min_val_loss_epoch,activation,batch_size,num_layers,optimizer,units,num_parameters
3370,lot-42,trial_0023,"[0.00433058 0.00414587 0.00414988 0.00402321 0.0038379  0.00368347
 0.00372362 0.00374543 0.00384715 0.00375016 0.00370058 0.00361281]",0.0036128121428191,12,leakyrelu,1152,4,Adam,[ 896  256  640 1024],1310208
2397,lot-38,trial_0046,"[0.00446614 0.00386144 0.00408613 0.00376129 0.00387785 0.00371964
 0.00382413 0.00367453 0.00374227 0.00367581 0.00366323 0.00362113]",0.0036211281549185,12,leakyrelu,1152,8,Adam,[ 896  896 1024  256  128  128 1024  512],2885120
2321,lot-38,trial_0091,"[0.00530123 0.00515487 0.00402352 0.00375708 0.00384398 0.00393389
 0.00379729 0.00367705 0.00372511 0.00377593 0.00368512 0.0036317 ]",0.0036317023914307,12,leakyrelu,384,7,RAdam,[ 128 1024  768  128  896  384  256],1641728
3001,lot-50,trial_0070,"[0.00445221 0.00392336 0.0041181  0.0037694  0.00386415 0.00371722
 0.00378385 0.00365698 0.00374706 0.00365352 0.0036605  0.00363948]",0.0036394773051142,12,leakyrelu,768,6,RAdam,[ 768 1024  256 1024  384  512],2081920
2416,lot-38,trial_0083,"[0.0045033  0.00423088 0.00396081 0.00380674 0.00384822 0.0038828
 0.00376798 0.00369216 0.00373635 0.00374764 0.00368836 0.00364108]",0.0036410775501281,12,leakyrelu,3072,4,Adam,[ 640  896  128 1024],1048960
3306,lot-37,trial_0035,"[0.00426128 0.00417113 0.00420639 0.00413863 0.00402819 0.00387129
 0.00378027 0.00364567 0.00369223 0.003702   0.00379704 0.00383762]",0.0036456738598644,8,leakyrelu,192,6,Adam,[640 640 768 512 512 512],1983744
3987,lot-41,trial_0023,"[0.00484543 0.00442158 0.00428282 0.00419206 0.0042148  0.00404694
 0.00394328 0.00392522 0.00384958 0.0037891  0.00370056 0.00365358]",0.0036535835824906,12,relu,2304,4,RAdam,[384 512 640 384],885376
3376,lot-42,trial_0110,"[0.00448147 0.00413462 0.0038898  0.00395341 0.00394573 0.00375837
 0.00386517 0.00381411 0.00370102 0.00373105 0.00370368 0.00365609]",0.0036560911685228,12,leakyrelu,1152,2,RAdam,[1024 1024],1325312
4546,lot-33,trial_0142,"[0.0091439  0.00794957 0.00408015 0.0039393  0.00377643 0.0037766
 0.00380086 0.00386124 0.00378098 0.00370485 0.00365643 0.00367552]",0.0036564308684319,11,leakyrelu,1536,6,RAdam,[ 512  512  128  512  512 1024],1394048
3239,lot-37,trial_0135,"[0.00435887 0.00390966 0.00407238 0.00380515 0.003917   0.00376421
 0.00382517 0.00373283 0.00374231 0.00368824 0.0036802  0.00365946]",0.003659461159259,12,leakyrelu,96,2,Adam,[1024  512],734976
612,lot-60,trial_0027,"[0.00435445 0.00420089 0.00401416 0.0038132  0.00386717 0.00393748
 0.00388282 0.00372255 0.00375176 0.00378717 0.00371752 0.00366067]",0.0036606669891625,12,leakyrelu,1152,4,Adam,[512 512 256 512],671744
