,lot,trial,val_loss,min_val_loss,min_val_loss_epoch,activation,batch_size,num_layers,optimizer,units,num_parameters
3282,lot-42,trial_0068,"[0.00145757 0.00137425 0.00132428 0.00126096 0.00122491 0.00117839
 0.00119663 0.00122439 0.00123131 0.00120662 0.00118244 0.00115974]",0.0011597399134188,12,leakyrelu,1152,3,RAdam,[ 640  768 1024],2065376
1768,lot-31,trial_0062,"[0.00139762 0.00134516 0.00126614 0.00119602 0.00123355 0.00124176
 0.00121101 0.00117508 0.00118729 0.00120035 0.00119315 0.00116863]",0.0011686325306072,12,leakyrelu,768,3,Adam,[896 896 896],2455008
210,lot-48,trial_0021,"[0.00143889 0.00137375 0.0013437  0.0012772  0.00123494 0.00119052
 0.00120358 0.00121273 0.00122092 0.00120759 0.00118417 0.00117051]",0.0011705141514539,12,leakyrelu,1152,4,Adam,[512 512 256 512],1068256
1560,lot-59,trial_0072,"[0.00147432 0.00135506 0.00130391 0.00128242 0.001268   0.00128226
 0.00127602 0.00123939 0.00121683 0.00121033 0.0011881  0.00117054]",0.0011705445358529,12,leakyrelu,1152,2,Adam,[256 896],805216
1475,lot-39,trial_0021,"[0.00160226 0.00150214 0.00139906 0.00129221 0.00124974 0.00120772
 0.00122006 0.00122236 0.00122399 0.00120499 0.00119208 0.00117187]",0.0011718680616468,12,leakyrelu,2304,2,RAdam,[512 640],918112
1691,lot-26,trial_0050,"[0.00154939 0.00144192 0.00133611 0.00124877 0.00128659 0.0013023
 0.00124287 0.00119897 0.00121985 0.00123772 0.00120817 0.00117319]",0.0011731858830899,12,elu,1536,6,Adam,[ 640  512 1024  896  384  128],2621536
411,lot-35,trial_0029,"[0.00149307 0.00139956 0.00127771 0.00121138 0.0012433  0.00125084
 0.00122632 0.00118262 0.00119774 0.00120818 0.00118961 0.00117512]",0.0011751190759241,12,leakyrelu,1152,2,RAdam,[1024 1024],1998816
3014,lot-55,trial_0042,"[0.00254511 0.00244472 0.0023488  0.00229923 0.0023278  0.00233039
 0.00122114 0.00118891 0.0011979  0.00121024 0.001186   0.00117579]",0.0011757930042222,12,leakyrelu,1536,2,RAdam,[896 512],1165536
2669,lot-25,trial_0046,"[0.00149682 0.00125022 0.00128184 0.00121261 0.00123439 0.0011951
 0.00120709 0.00118372 0.0011877  0.0011784  0.00118516 0.00117581]",0.0011758127948269,12,relu,1536,3,Adam,[ 384  640 1024],1579360
4164,lot-08,trial_0074,"[0.00157604 0.00139251 0.00128736 0.00123756 0.00126162 0.00128634
 0.00122509 0.00119184 0.0012058  0.00121903 0.00119314 0.0011765 ]",0.0011764974333345,12,leakyrelu,2304,2,RAdam,[768 896],1482080
