Variable,MAE,RMSE,R2
ptend_t,2.5854177683121167,4.369105927705484,0.6272601554104374
ptend_q0001,4.40063916744431,7.283704951979909,-inf
cam_out_NETSW,18.84503005635337,36.906749112400554,0.943800023904028
cam_out_FLWDS,8.597703129118322,10.854746934108045,0.827835973702804
cam_out_PRECSC,3.3641800046731483,6.000881150429159,-inf
cam_out_PRECC,37.82579930046496,85.31168583457737,0.07693004210843289
cam_out_SOLS,10.83098349192305,22.916410278381402,0.9270286267593443
cam_out_SOLL,13.152971108483229,27.251214346638744,0.9156845863621879
cam_out_SOLSD,5.816830887487562,12.126842068838222,0.9272286716497574
cam_out_SOLLD,5.678991387902905,12.102328057425764,0.8125372892303323
