Variable,MAE,RMSE,R2
ptend_t,2.8447888720229004,4.824680985130394,0.5675241823207063
ptend_q0001,4.784426527182771,7.895550021453363,-inf
cam_out_NETSW,19.816967838324594,37.77302058990262,0.9591362304063077
cam_out_FLWDS,6.266635291663821,8.219850967872457,0.9041153791192919
cam_out_PRECSC,3.5111871925440905,6.094945112663908,-inf
cam_out_PRECC,42.37919532264318,90.6404129314429,-68.34750209810056
cam_out_SOLS,11.31441797563211,23.614024839636286,0.9287765254396444
cam_out_SOLL,13.60278867678455,27.778323879751465,0.916143069167649
cam_out_SOLSD,6.330680093192452,12.395839589045275,0.9226212849081983
cam_out_SOLLD,6.214982582354792,12.474274039370172,0.7972732111769067
