output_idx,MAE,RMSE,R2
0,0.002488104408066531,0.005218309578337449,0.897846117618123
1,0.004997240937803138,0.009939569595003679,0.9343337837402258
2,0.008767581751881087,0.013675024069838157,0.9667175804935385
3,0.014755754264897348,0.021097229566787307,0.9826484250866326
4,0.023048209272885395,0.030523821038531046,0.9936415736250259
5,0.033467814757417245,0.043956037090141946,0.9963675881992774
6,0.05083605183839568,0.06594438120357904,0.9961760266989296
7,0.06795749452557076,0.08809937275247164,0.9947572922954174
8,0.07784846127428661,0.10082333261605785,0.9915801463016587
9,0.09343349720910199,0.12055974373075933,0.9886910149089195
10,0.11089151564993045,0.14198761956776737,0.9845326813427544
11,0.12792963532990148,0.16221114455873045,0.9800448617788371
12,0.13223128555093078,0.1685216469133977,0.9758909918611959
13,0.14573428301399885,0.18659383247765007,0.966314070470578
14,0.16426323258445688,0.2109583002126023,0.9417879377266566
15,0.1960932558049858,0.25792378280775036,0.8842508506127098
16,0.2477654250180764,0.37071457953730397,0.7470013543149002
17,0.4047186178227715,0.7264557938866236,0.4295152534810387
18,0.7132493988581095,1.3454213324990736,0.23163538068077308
19,1.0595936378260837,1.9305009230807173,0.15188372315172874
20,1.0981982386572593,2.1073191784924004,0.2411663496278731
21,1.1950367640873252,2.323744973384924,0.27073858518756305
22,1.3514279354468968,2.580380641304562,0.298200238278435
23,1.5185517883398234,2.812891159748867,0.324871785147043
24,1.6719369730920774,3.0720427781832336,0.36514874573203615
25,1.8320881792085302,3.2976003839195527,0.39081137850632547
26,2.052682396827676,3.572416469833596,0.3906065950171978
27,2.288652630905842,3.887996051980538,0.4616491975601553
28,2.4537570327398357,4.226458765304043,0.529378507467821
29,2.66744006267254,4.713934351875182,0.5806460422337739
30,2.9828279711249324,5.347897051740559,0.5911210796975893
31,3.2821205375771663,5.99368501830389,0.6062343348077947
32,3.5668030108045756,6.66257138227061,0.6393843262837587
33,3.9327968770204653,7.389140746669298,0.6501037261970376
34,4.311480959145895,8.141707165587588,0.6470465882804575
35,4.688982322314232,8.80571994260373,0.6434716406529808
36,5.062671008831608,9.410261078731542,0.6258668381311697
37,5.444541063331086,9.951575061549626,0.5991192556089692
38,5.716961430701673,10.25443162941921,0.5709272252626102
39,5.900129057002591,10.380323857845505,0.5465982268175398
40,6.003601505204288,10.368257511792644,0.5160727450606061
41,6.074386133980753,10.215482822622345,0.4868784528025081
42,6.174797320706452,10.045080371819338,0.45221257497391215
43,6.164124205533571,9.803368377879638,0.43848708698397915
44,6.183426031819629,9.578675949707609,0.42456356661751693
45,6.142240568121469,9.294352158515139,0.40938120481873846
46,5.983472023497742,8.88456990591159,0.396273107648662
47,5.695102842984334,8.35250943301614,0.38420625402113795
48,5.350023809409831,7.753847412087615,0.3726085341404061
49,4.899948243898888,7.086327398778882,0.3715851037253959
50,4.508621568467685,6.502912086948509,0.3701691642449138
51,4.1525170347860785,5.9832213728235395,0.370336615704775
52,3.821275250270309,5.540143995748554,0.37472814230967283
53,3.5592672215840135,5.2065476861496345,0.37602587408482885
54,3.3526799495844197,4.958799033872389,0.37331928125604524
55,3.194548655260379,4.794347881954345,0.3735627034721407
56,3.109118419736603,4.73018382368801,0.3803260954660121
57,3.086364961842079,4.757520165150072,0.39407875055838576
58,3.1780641988589315,4.931283957512643,0.43527545796511036
59,3.6331598257969695,5.533612997273337,0.630420619878251
60,8.319496229880927e-08,1.2023803366070424e-07,-inf
61,1.7656580627229616e-07,2.354655578727716e-07,-inf
62,0.0001483286263653523,0.00015885537202273942,-inf
63,3.751777915827053e-06,4.115357995044492e-06,-inf
64,1.7676247742633454e-06,2.2455124426951917e-06,-inf
65,1.6001093049624404e-06,2.2710904017044607e-06,-inf
66,2.9293070359969257e-05,3.109769782088179e-05,-inf
67,2.996301712432795e-06,4.2300321060685524e-06,-inf
68,5.192708298396674e-06,7.346073811607982e-06,-inf
69,1.318790601616834e-05,1.813707693775453e-05,-inf
70,0.00021347200393926255,0.00023037913237356758,-inf
71,2.1822621357313203e-05,2.889863304026644e-05,-inf
72,0.0023753732471070675,0.002520569545338866,-339159.66521247465
73,0.0001407167195130645,0.00018401881841264436,-218.80393903949206
74,0.0016713209234794923,0.0019129265794996624,-3298.495532652882
75,0.0019322736602071279,0.003538195242576749,-1162.3886670935372
76,0.001546587969175496,0.004437661858871376,-128.11291769132185
77,0.0034110683716686643,0.00639940794765882,-18.473614540084544
78,0.0056101207638258035,0.011930267139865879,-3.0382255682995223
79,0.010725387333249172,0.026779893673364568,-2.0722517827779496
80,0.029964154440219683,0.06465715447454849,-2.2092691059710803
81,0.07921921502698058,0.14704068124916692,-3.7141631895082434
82,0.13227113437833718,0.27982224614679324,-2.255642854390674
83,0.2511072235916465,0.4944703745027925,-3.632497322323997
84,0.40375788829594894,0.7937466846850966,-3.273771266626749
85,0.5901663081158057,1.1684295182651263,-3.210421146143872
86,0.8090515702221023,1.6000768551509574,-2.903272409286759
87,1.14367901181265,2.1334069707154266,-2.0184703897371503
88,1.4015958515707017,2.666712580166274,-1.5017689869870068
89,1.6122123155850847,3.2341382551604188,-0.41920837454641774
